>>L<<English	,>>L<<Chinese
abnegate	,放弃
abnegation	,放弃
abnerval current	,离神经电流
Abney effect	,艾比尼效应
abnormal behavior	,变态行为
abnormal behavior	,异常行为
abnormal child	,异常儿童
abnormal condition	,异常条件
abnormal curve	,非常态曲线
abnormal distribution	,非正态分布
abnormal end	,异常终止
abnormal fertilization	,异常受精
abnormal fixation	,变态固著
abnormal habitude	,异常习惯
abnormal impulse work	,异常工作欲
abnormal metabolism	,异常代谢
abnormal mind of convict	,罪犯异常心理
abnormal mind	,异常心理
abnormal personality	,变态人格
abnormal phenomena	,异常现象
abnormal psychology	,变态心理学
abnormal results	,异常结果
abnormal sensation	,感觉异常
abnormal series	,非正规列
abnormal sexual behavior	,性行为异常
abnormal sexuality	,变态性欲变态性
abnormal spoilage	,非正常损失
abnormal time	,异常时间
abnormal	,异常的
abnormality	,变态性
abnormity	,异常性
ABO blood group	,ABO
ABO system	,ABO
abolition of reflex	,反射消失
abominate	,厌恶
abomination	,厌恶
abominator	,嫌恶者
abort	,发育不全
abortion	,流产
abortive	,发育不全的
aboulia	,丧志症
aboulia	,意志缺失
aboulomania	,意志缺失狂
above threshold	,阈上
Abrahamsen	,s
abreaction	,情绪发泄
abridged learning	,简括学习
abridgment of response	,反应的精简
abridgment of table	,简化表格
abrogate	,扬弃
abruption	,断裂
abscissa axis	,横轴
abscissa	,横坐标
abscission	,截断
abscission	,切除
absence of mind	,心不在焉
absence of restrictions	,无约束
absence	,失神
absent behavior	,回避行为
absent response	,回避反应
absent	,minded
absent	,mindedness
absenteeism	,旷工
absenteeism	,缺席
absentia epileptic	,癫痫性失神
absentia	,失神
absolute activity	,绝对的活动
absolute advantages	,绝对优势
absolute and relative	,绝对和相对
absolute atmosphere	,绝对气压
absolute being	,绝对存在
absolute brilliance limen	,绝对明度阈限
absolute certitude	,绝对确定性
absolute chance	,绝对的偶然
absolute choice	,绝对选择
absolute cognitive consciousness	,绝对的认知意识
absolute concept	,绝对概念
absolute construction	,独立结构
absolute difference	,绝对差绝对差
absolute discrimination	,绝对辨别
absolute dispersion	,绝对离差绝对离差
absolute diversity	,绝对多样性
absolute ego	,绝对自我
absolute electrostatic unit	,绝对静电单位
absolute equality	,绝对平等
absolute error	,绝对误差
absolute evaluation	,绝对评价
absolute existence	,绝对存在
absolute extremes	,绝对极限
absolute field	,绝对区
absolute freedom	,绝对自由
absolute grading standards	,绝对评分标准
absolute humidity	,绝对湿度
absolute idea	,绝对观念
absolute identity	,绝对同一
absolute idiocy	,完全白痴
absolute impression	,绝对印象
absolute intelligence	,绝对灵性
absolute judgment	,绝对判断
absolute knowledge	,绝对知识
absolute lethal genes	,完全致死基因
absolute light threshold	,绝对光觉阈限
absolute limen	,绝对阈限
absolute localization	,绝对定位
absolute luminosity	,绝对明度
absolute magnitude	,绝对量
absolute mass unit	,绝对质量单位
absolute measurement	,绝对测量
absolute memory	,绝对记忆
absolute mind	,绝对精神
absolute morality	,绝对道德
absolute motion parallax	,绝对运动视差
absolute nothing	,绝对空无
absolute notion	,绝对概念
absolute number	,绝对数
absolute pitch	,绝对音高
absolute principle	,绝对原则
absolute property	,绝对性质
absolute reaction	,绝对反应
absolute reason	,绝对理性
absolute refractory period	,绝对不应期
absolute scale	,绝对量表
absolute scaling	,绝对量表法
absolute self	,绝对自我
absolute selfhood	,绝对我性
absolute sensitivity	,绝对感受性
absolute skepticism	,纯粹怀疑论
absolute space	,绝对空间
absolute specificity	,绝对特性
absolute spirit	,绝对精神
absolute symmetry	,绝对对称
absolute temperature	,绝对温度
absolute term	,绝对项
absolute threshold	,绝对阈限
absolute time	,绝对时间
absolute truth	,绝对真理
absolute value error	,绝对值误差
absolute value	,绝对值
absolute visual field	,绝对视野
absolute zero	,绝对零点
absolute	,绝对
absolutely infinite intellect	,绝对无限的理智
absolutely minimal design	,绝对最小设计
absolutely supernatural	,绝对超自然
absolutely unbiassed estimator	,绝对无偏估计量
absoluteness	,绝对性
absolutism	,绝对论
absolutism	,专制主义
absolutist	,专制主义者
absolutist	,绝对论者
absolutistic hypothesis	,绝对论假设
absolutization	,绝对化
absorb	,承受
absorb	,吸收
absorbability	,可吸收性
absorbable	,可吸收的
absorbing model	,吸收模型
absorption law	,吸收律
absorption	,吸收
absorption	,专注
abstemious	,有节制的
abstention	,戒绝
abstinence delirium	,禁戒谵妄
abstinence phenomenon	,禁戒现象
abstinence rule	,禁戒规则
abstinence	,禁戒
abstract ability	,抽象能力
abstract attitude	,抽象态度
abstract behavior	,抽象行为
abstract being	,抽象的存在
abstract category	,抽象范畴
abstract code	,抽象码
abstract concept	,抽象概念
abstract conception	,抽象概念
abstract conceptualization	,抽象概念化
abstract definition	,抽象定义
abstract drive	,抽象驱力
abstract entities	,抽象本质
abstract entities	,抽象存在
abstract generalization	,抽象概论
abstract ideal theory	,抽象理想论
abstract ideas	,抽象观念
abstract intelligence	,抽象智力
abstract knowledge	,抽象知识
abstract memory	,抽象记忆
abstract method	,抽象法
abstract model	,抽象模型
abstract names	,抽象名称
abstract number	,抽象数
abstract objects	,抽象客体
abstract perception	,抽象知觉
abstract reasoning	,抽象推理
abstract science	,理论科学
abstract set	,抽象定势
abstract space	,抽象空间
abstract term	,抽象术语
abstract thinking	,抽象思维
abstract thought	,抽象思考
abstract	,analog
abstracted	,抽象的
abstracting power	,抽象能力
abstracting process	,抽象化过程
abstraction cognition	,抽象认识
abstraction experiment	,抽象实验
abstraction factor	,抽象因素
abstraction	,抽象作用
abstractness	,抽象性
absurd world	,荒谬世界
absurdity test	,挑错测验
absurdity	,荒唐行为
abulia	,丧志症
abulia	,意志缺失
abulomania	,意志缺乏性精神障碍
abundance motive	,富裕动机
abuse	,妄用
abysmal	,深不可测的
academia	,学术界
academic ability grouping	,学科能力分组
academic achievement predict	,学术成就预测
academic achievement test	,学业成绩测验
academic achievement	,学术成就
academic activities	,学术活动
academic aptitude test	,学业能力倾向测验
academic aptitude	,学术能力倾向
academic atmosphere	,学业风气
academic attainment	,学力
academic environment	,学习环境
academic freedom	,学术自由学术自由
academic grouping	,学科分组
academic intelligence	,学术智力
academic motivation	,学习动机
academic overachievement	,学科高成就
academic overachiever	,学科高成就者
academic problem	,学术问题
Academic Promise Test	,学业前途测验
academic psychology	,经院心理学
academic research	,学术研究
Academic Risk Taking Scale	,学业冒险性行为量表
academic success	,学科成就
academic underachievement	,学科低成就
academic underachiever	,学科低成就者
academic writing	,学术著作
Academy of Psychosomatic Medicine	,身心医学学会
acalculia	,计算不能
acalculia	,失算症
acarophobia	,恐虫症
acataleptic	,智能缺陷的
acatamathesia	,理解力缺乏
acataphasia	,造句型失语症
acatastasia	,反常
acathexis	,精神贯注不能
acathisia	,静坐不能
Acc R	,成绩比率
accelerated child	,跳级学童
accelerated curve	,递升曲线
accelerated natural process	,加速的自然进程
accelerated reaction	,加速反应
accelerated speech	,加速言语
accelerated student	,跳级生
accelerating center	,加速中枢
accelerating tolerance	,加速度耐力
acceleration center	,加速中枢
acceleration control tracking	,加速控制追踪
acceleration effect	,加速度效应
acceleration of gravity	,重力加速度
acceleration of growth	,加速生长
acceleration of vibration	,振动加速度
acceleration trend	,加速倾向
acceleration	,加速
acceleration	,速进制
accelerator nerve	,加速神经
accelerometer	,加速计
accentuation	,加强
acceptability	,可接受性
acceptable hypothesis	,可接受假设
acceptable limit	,允许界限
acceptable quality level	,可接受的品质水平
acceptable variant	,可接受的变换
acceptable	,可接受的
acceptance latitude	,接受幅度
acceptance region	,接受区域
acceptance theory of authority	,权威接受理论
acceptance therapy	,接受治疗法
acceptance	,接受
acceptance	,认可
acceptant	,易接受的
accepted	,认可的
acceptor site	,受体部位
acceptor	,RNA
acceptor	,感受器
access circuit	,存取电路
accessibility	,可进入性
accessibility	,易接近
accessible	,易接近的
accessory auditory nucleus	,副听核
accessory nerve	,副神经
accessory organ	,副器官
accessory pigment	,辅色素
accessory sense	,apparatus
accessory sex structures	,副性结构
accessory sound muscle	,副发音肌
accessory symptoms	,附加症状
accessory thyroid gland	,副甲状腺
accessory	,附属的
accident analysis	,事故分析
accident behavior	,意外行为
accident domino theory	,事故多米诺说
accident error	,意外误差
accident neurosis	,事故性神经病
accident prevention	,事故预防
accident proneness	,事故倾向性
accident rate	,事故率
accident reduction strategy	,减少事故策略
accident repeater	,易肇事者
accident stimulus	,意外刺激
accident	,prone
accident	,related
accident	,事故
accidental activation of controls	,控制器的偶发启动
accidental attribute	,偶有属性
accidental contingency of reinforcement	,偶然后效强化
accidental count	,偶然计数
accidental crisis	,意外危机
accidental error	,偶然性误差
accidental event	,偶然事件
accidental evolution	,机遇性进化
accidental fluctuation	,偶然波动
accidental form	,偶然形式
accidental generalization	,偶然概括
accidental homosexuality	,偶然性同性恋
accidental image	,意外心像
accidental movement	,偶然变动
accidental probability	,偶然概率
accidental property	,偶有属性
accidental proposition	,偶然性命题
accidental relations	,偶然关系
accidental resemblance	,偶同
accidental sameness	,偶然的同一
accidental sampling	,随意抽样
accidental teaching method	,偶然教学法
accidental variation	,偶然变异
accidentalism	,偶然论
acclimation to heat and cold	,身体对冷热的适应
acclimation	,服水土
acclimation	,习服
acclimatization	,适应过程
acclimatization	,习服
acclimatize	,适应
accommodate	,调节
accommodating	,迁就
accommodation of information	,信息调节
accommodation reflex	,调适反射
accommodation time	,调适时间
accommodation	,调节
accommodation	,顺化
accommodometer	,调节计
accompaniment	,伴随物
accompanying movement	,伴发运动
accomplishment quotient	,成绩商数
accomplishment rate	,成绩比率
accomplishment test	,成绩测验
accord development	,和谐发展
accord	,和谐
accordance	,一致
account	,论述
accountability	,责任性
accountable	,可说明的
accountable	,有责任的
accretion learning	,附加学习
acculturate	,受同化
acculturated trait	,涵化特质
acculturation	,涵化
accumulated error	,累积误差
accumulated value	,累加值
accumulation body	,贮体
accumulation hypothesis of impulse	,冲动的积累假说
accumulation level	,累积水平
accumulation method	,累积法
accumulation of rounding errors	,舍入误差的积累
accumulation	,积累
accumulative effect	,累积效应
accumulative estimation	,累积估计
accumulative perception	,累积百分比
accumulative play	,累积型游戏
accuracy in computations	,计算正确性
accuracy of action	,动作的准确性
accuracy of data	,资料正确性
accuracy of estimation	,估计正确性
accuracy score	,正确分数
accuracy test	,准确性测验
accuracy	,准确性
accurate inquiry	,审问
accurateness	,正确度
accusation	,非难
accuse	,非难
accustom	,使习惯
accustomization	,适应
ACE	,肾上腺皮质浸膏
acedia	,淡漠性忧郁症
acenesthesia	,机体失认症
acentric	,非中枢的
acerb	,尖刻的
acerbate	,激怒
acerbity	,尖刻
acerbral	,tonus
acervulus	,松果体石
acetone body	,酮体
acetophenazine	,乙酰非那嗪
acetoxycycloheximide	,乙酸环已基酰亚胺
acetylcholine	,乙酰胆碱
acetylcholinesterase	,乙酰胆碱脂酶
Ach	,乙酰胆碱
achalasia	,弛缓不能
acharnement	,残暴
AChE	,乙酰胆碱脂酶
acheilous	,无唇的
achieved role	,获得性角色
achieved status	,获得的地位
achieved	,获得的
achievement age	,成就年龄
achievement battery	,成就成套测验
achievement difference of learning	,学习成就的差异
achievement drive	,成就驱力
achievement ethic	,成就伦理成就伦理
achievement identity	,成就自认成就自认
achievement index	,成就指数
achievement measure	,成绩测量
achievement motivation theories	,成就动机理论
achievement motivation	,成就动机
achievement motive	,成就动机
achievement need	,成就需要
achievement oriented	,成就取向
achievement quotient	,成就商数
achievement score	,成就分数
achievement test	,成就测验
achievement	,oriented
achievement	,test
achievement	,成就
Achillean	,阿奇里斯般勇敢的
Achilles reflex	,阿奇里斯反射
Achilles tendon reflex	,跟腱反射
achloropsia	,绿色盲绿色盲
achluophobia	,黑暗恐怖症
achondroplasia	,软骨发育不全症
achondroplastic dwarf	,软骨发育不全性侏儒
achrematopisa	,全色盲
achromasia	,全色盲
achromate	,色盲者
achromatic color	,非彩色
achromatic sensation	,明暗感觉
achromatic series	,非彩色系列
achromatic vision	,非彩色视觉
achromatic	,非彩色的
achromatin	,非染色质非染色质
achromatism	,全色盲全色盲
achromatognosia	,色觉失认症
achromatopia	,全色盲
achromatopsia	,全色盲
achromatous	,无色的
achromic	,无色的
acicula	,针刺
acid conditioned reaction	,酸条件反应
acid reaction	,酸反应
acid reflex	,酸反射
acinesia	,运动不能
acknowledge	,承认
acknowledgment	,自认
acme	,顶点
acmesthesia	,尖锐感觉
acoasma	,耳鸣
acoasma	,幻听
	,acoenesthesia
acolasia	,病态放纵
aconative	,意向缺失
aconuresis	,小便失禁
acoria	,不饱症
acortan	,促皮质素
acouasm	,耳鸣
acouasm	,幻听
acouesthesia	,听觉
acoumeter	,听觉计
acoumetry	,听力测验法
acousma	,听幻觉
acousmatagnosis	,辨音不能
acousmatamnesia	,听觉性健忘症
acoustic agnosia	,听觉失知症
acoustic analysor1	,声音分析器
acoustic aphasia	,听觉性失语
acoustic apparatus	,听觉器官
acoustic area	,听觉区
acoustic bearing	,声向位
acoustic code	,声码
acoustic coding	,声音编码
acoustic cue	,听觉线索
acoustic delay line	,声延迟线
acoustic epithelium	,听上皮
acoustic features	,声学特征
acoustic frequency generator	,声频发生器
acoustic frequency	,声频
acoustic ganglion	,听神经节
acoustic hypoesthesia	,听觉减退
acoustic information storage	,听觉信息储存
acoustic information	,声音信息
acoustic input device	,声音输入装置
acoustic labyrinth	,听迷路
acoustic memory	,听觉记忆
acoustic nerve	,听神经
acoustic phobia	,恐音响症
acoustic phonetics	,听觉发音学
acoustic pressure level	,声压级
acoustic pressure	,声压
acoustic radiation	,听觉辐射
acoustic reactance	,声抗
acoustic redundancy	,听觉冗余性
acoustic reflex	,听觉反射
acoustic resonance	,共鸣
acoustic shadow	,声影
acoustic spectrum	,声谱
acoustic spot	,听斑
acoustic stimuli	,听觉刺激
acoustic transmission system	,声学传播系统
acoustic	,facial
acoustic	,lateral
acoustic	,声的
acoustical conductivity	,声导性
acoustical interferometer	,声干扰仪
acoustical ohm	,声欧姆
acoustical resonator	,共鸣器
acoustical sensation	,听觉
acoustical signal	,声音信号
acoustical treatment	,声学处理
acoustical	,声的
acousticopalpebral reflex	,声音眼睑反射
acousticophobia	,恐声音症
acoustics	,声学
acoutometer	,听力计听力计
acquaint with data	,熟悉数据
acquaint	,使熟悉
acquaintance process	,相识过程
acquaintance	,认识
acquaintance	,熟悉
acquiesce	,默许
acquiescence	,默从
acquiescent	,response
acquire	,取得
acquired alexia	,后天失读症
acquired astigmatism	,后天性散光
acquired attitude	,习得态度
acquired behavior	,习得行为
acquired belief	,习得信念
acquired character	,习得特性
acquired characteristics	,习得特性
acquired cue value	,获得线索值
acquired deafness	,后天性聋
acquired dementia	,后天痴呆
acquired disease	,后天病
acquired distinctiveness of cues	,线索的习得明显性
acquired drive	,获得内驱力
acquired dyslexia	,获得性阅读不能
acquired epilepsy	,后天性癫痫
acquired equivalence of cues	,线索习得等同性
acquired idea	,习得观念习得观念
acquired incentive	,习得激励
acquired learning skill	,习得的学习技能
acquired need	,习得需要
acquired reflex	,习得反射
acquired releasing mechanism	,获得性释放机制
acquired releasing schema	,获得性释放构系
acquired resistance	,获得抗病性
acquired response	,习得反应
acquired role	,习得角色
acquired tendency	,获得倾向
acquired trait	,获得的特质
acquired	,习得的习得的
acquirement	,学识学识
acquiring knowledge thoroughly	,贯通
acquisition curve	,习得曲线
acquisition model	,获得模式
acquisition of sex	,type
acquisition of skill	,技能习熟
acquisition test	,习得检查
acquisition	,获得获得
acquisitive curve	,习得曲线
acquisitive impulse	,贪得的冲动
acquisitive instinct	,获取本能
acquisitive society	,贪得的社会
acquisitiveness	,获取性获取性
acragnosis	,肢体感觉缺失
acritical	,不批评的
acroaesthesia	,肢端敏感症
acroagnosia	,肢端失知症
acroanesthesia	,肢端麻木
acrodynia	,肢痛症
acroesthesia	,感觉过敏症
acrognosis	,肢体感
acrokinesia	,运动过多
acrokinesis	,肢端动觉
acromania	,重躁狂
acromegaly	,末端肥大症
acromegaly	,肢端过大
acromicria	,先天肢端畸小
acromyotonia	,肢肌强直
acroneurosis	,肢体神经官能症
acroparalysis	,肢麻痹
acroparesthesia	,肢端感觉异常
acrophobia	,高处恐怖症
acrophobia	,恐高症
acroteric	,末梢的
act and reaction	,作用与反作用
act assessment	,动作评定
act frustration	,行动挫折
act of attention	,注意集中
act of categorization	,分类活动
act of faith	,信仰行动
act of god	,不可抗力
	,act psychology
act	,habit
act	,行动
ACTH	,促肾上腺皮质激素
actin	,肌动蛋白
acting in	,动作显露
acting out	,行?
acting teaching	,主动教学法
actinomycin	,放线菌素放菌素
actinoneuritis	,放射性神经炎
action and counteraction	,作用与反作用
action at distance	,超距作用
action by contact	,接触作用
action compulsive	,动作强迫性
action concept	,动作概念动作概念
action current reflex	,动作电流反射
action current	,动作电流动作电流
action development	,动作发展
action error	,动作误差
action exercise	,动作练习
action feedback	,动作反馈
action form	,动作形式
action frame of reference	,参考行动架构
action group	,行动群体
action imitation	,动作模仿
action interpretation	,动作解释
action language	,动作语言
action modeling	,动作示范
action need	,活动需要
action of stereotype	,刻板动作
action orientation	,动作定向
action pattern	,动作模式
action potential	,动作电位
action principle	,作用量原理
action profile	,行动剖析
action reports	,执行报告
action research	,行动研究
action set	,动作定势
action space	,行为空间
action stability	,动作稳定性
action system	,动作系统
action tendencies	,行动倾向
action theory	,活动说
action thinking	,动作思维
action time	,动作时间
action triggered language	,动作引发的语言
action unit	,动作单元
action zone	,主动区
action	,oriented
action	,specific
action	,time
action	,动作
activate	,激活
activated epilepsy	,诱发性癫痫
activated sleep	,活动性睡眠
	,activated state
activating system	,激动系统
activation center	,激活中心
activation energy	,活化能
activation index	,活化指数
activation level	,激活水平
activation of learning motivation	,学习动机的激发
activation pattern	,激动模式
activation process	,激活过程
activation ratio	,活化比
activation theory of emotion	,情绪激活理论
activation theory	,激活理论
activation	,synthesis
activation	,激活
activational effect	,引发性效应
activator	,激活剂
active adaptation	,活动性适应
active analysis	,活动分析
active analytic psychotherapy	,主动分析心理治疗法
active articulator	,积极发音器官
active attention	,活动注意
active avoidance	,积极躲避
active avoidance	,主动回避
active castration complex	,主动阎割情结
active center	,活力中心
active complex	,活动情结
active consciousness	,主动意识
active constraint	,起作用的约束
active delirium	,躁狂性谵妄
active directive	,积极教导
	,active electrode
active element	,主动元素
active euthanasia	,主动安乐死
active exercise	,自动运动
active fantasying	,主动幻想治疗
active forgetting	,自动遗忘
active homing	,主动接近
active imagination	,主动想象力
active inhibition	,主动抑制
active intellect	,能动的智慧
active language	,主动语言
active learning	,积极学习
active living process	,能动的生命过程
active negativism	,主动抗拒性
active orientation	,主动取向
active participation	,主动参与
active potency	,主动潜能
active principle	,主动原则
active public	,积极的公众
active qi gong	,动气功
active reaction	,主动反应
active reason	,能动的理性
active recall	,主动回忆
active region	,作用区
active responding	,积极反应
active role	,积极任务
active schedule	,活动一览表
active search theory	,主动探索理论
active set	,作用集
active site	,活性部位
active sleep theory	,主动睡眠理论
active society	,积极的社会
active speech	,主动言语
active stimulus	,有效刺激
active testimony	,主动作证主动作证
active therapy	,主动疗法
active transfer	,主动传递
active type	,活泼型
active variable	,主动变量
active vocabulary	,主动词汇
active	,passive
active	,resistive
active	,活动性
activeness	,主观能动性
activism	,能动性
activist point of view	,能动主义观点
activist psychology	,能动心理学
activist	,行为能动论者
activity analysis problem	,行动分析问题
activity analysis	,活动分析
activity cage	,活动笼
activity concept	,活动概念
activity curriculum	,活动课程
activity cycle	,活动周期
activity dimension	,活动维度
activity drive	,活动驱力
activity factor	,活动因素
activity inventory	,活动记录
activity learning	,活动学习
activity level method	,动量法
activity level	,活动水平
activity log	,活动日志
activity method of teaching	,活动教学法
activity need	,活动需求
	,activity of personality
activity optimization	,活动方式最佳化
activity pattern	,活动模式
activity quotient	,活动商数
activity rating	,活动评等
activity sampling	,活动抽样
activity system	,活动系统
activity theory of aging	,老年活动论
activity theory of learning	,学习活动论
activity theory	,活动论
activity therapy	,活动疗法
activity	,dependent
activity	,group
activity	,interview
activity	,play
activity	,wheel
activity	,活动
actograhy	,动作记录法
actograph	,动作记录器
actometer	,活动度测量计
actor	,observer
actor	,男演员
actor	,行事者
actual anxiety	,真实性焦虑
actual being	,实在
actual conflict	,真实冲突
actual entity	,现实实有
actual frequency	,实际频率
actual hour	,实际时间
actual leader	,实际领袖
actual life	,实际寿命
actual limit	,实际限度
actual measurement	,真实量度
actual mechanical process	,实际操作过程
actual neurosis	,真实神经症
actual number	,实际数
actual numerical value	,实际数值
actual parameter	,实际参数
actual population	,实际人口
actual power	,有效功率
actual range	,实际范围
actual rate of growth	,实际增长率
actual self	,现实我
actual survey work	,实际调查工作
actual survey	,实际调查
actual time	,实际时间
actual value	,实际值
actual working rate	,实际劳动率
actual	,真实的
actualism	,现实主义
actualist	,现实论者
actuality philosophy	,现实哲学
actuality	,现实性
actualization	,现实化
actualized reason	,实现了的理性
actualizing therapy	,实现治疗法
actuarial prediction	,统计预测
actuation	,开动
actuator	,执行机构
acuity	,敏度
aculeus	,皮刺
acumen	,敏锐
acumeter	,听觉计
acupuncture anesthesia	,针刺麻醉
acupuncture	,针灸术
acute alcoholic hallucinosis	,急性酒精幻觉症
acute alcoholic intoxication	,急性酒精中毒
acute alcoholism	,急性酒精中毒
acute anxiety	,急性焦虑
acute brain syndrome	,急性脑综合症
acute confusional state	,急性困惑状态
acute confusional	,急性精神错乱
acute dementia	,急性痴呆
acute depression	,急性抑郁症
acute disseminated encephalomyelitis	,急性感染后脑脊髓炎
acute distress syndrome	,急性忧伤综合症
acute effect	,急性效应
acute experiment	,急性实验
acute fatigue	,急性疲劳
acute hallucinatory mania	,急性幻觉性躁狂
acute hallucinatory paranoia	,急性幻觉性妄想狂
acute hallucinosis	,急性幻觉症
acute hunger state	,急性饥饿状态
acute intoxication	,急性中毒
acute mania	,急性躁狂
acute paranoia	,急性偏执狂
acute postinfection encephalom yelitis	,急性感染后脑脊髓炎
acute psychogenic reaction	,急性心因性反应
acute psychosis	,急性精神症
	,acute psychotic episode
acute schizophrenia	,急性精神分裂症
acute schizophrenic episode	,急性精神分裂症性插话
acute situation reaction	,急性情境反应
acute stress reaction	,急性压力反应
acute	,急性的
acyanoblepsia	,蓝色盲
ad absurd reasoning	,归谬推理
ad hoc hypothesis	,特设性假设
ad hoc rule	,特定规则
ad hoc way	,特定方式
ad hoc	,特别
AD	,平均差
adage	,谚语
Adami	,s
Adams	,Stokes
adaptability test	,适应性测验
adaptability	,适应性
adaptability	,顺应性
adaptable	,适应性强的
adaptation character	,适应特性
adaptation level	,适应水平
adaptation level theory	,适应水平论
adaptation norm	,适应规范
adaptation reaction	,适应性反应
adaptation response	,适应性反应
adaptation syndrome	,适应综合症
adaptation theory	,适应论适应论
adaptation time	,适应时间
adaptation to darkness	,暗适应
adaptation to end	,适应目的
adaptation to imprisonment	,监狱适应
adaptation tolerance	,适应耐性
adaptation trial	,适应尝试
adaptation	,适应
adapted culture	,适应性文化
adapted information	,适应性知识
adapted	,适应的
adapter molecule	,衔接分子
adapter	,转接器
adaption	,适应
adaptive act	,适应活动
Adaptive Behavior Scale	,适应行为量表
adaptive behavior	,适应行为
adaptive capacity	,适应能力
adaptive character	,适应特性
adaptive coloration	,适应色
adaptive compensation	,适应补偿
adaptive conformity	,适应性从众
adaptive control	,适应性控制
adaptive convergence	,趋同适应
adaptive crisis	,适应危机
adaptive decision	,making
adaptive delinquency	,适应型犯罪
	,adaptive differentiation
adaptive dispersion	,适应分散
adaptive evolution	,适应进化
	,adaptive faculty
adaptive feedback control	,适应性反馈控制
adaptive flexibility	,适应的灵活性
adaptive form	,适应类型
adaptive mechanism	,顺应机制
adaptive norm	,适应规范
adaptive optimal control	,最优适应
adaptive optimization	,适应最优化
adaptive peak	,适应高峰
adaptive phase	,适应阶段
adaptive process	,适应过程
adaptive program	,适应性程
adaptive reaction	,适应反应
adaptive regression	,适应退化
adaptive sampling	,适应性抽样
adaptive selection	,适应选择
adaptive strategy	,适应策略
adaptive strategy	,因应策略
adaptive subsystem	,顺应子系统
adaptive testing	,适应性测验
adaptive time	,适应时间
adaptive training	,适应训练
adaptive value	,适应值
adaptive	,适应的
adaptivity	,适应性
adaptometer	,适应测量器
ADC	,线索的习得明显性
ADD	,注意缺失紊乱
add pulse	,加法脉冲
addaverter	,方法转换器
addict	,成瘾者
addiction research	,反毒瘾研究
addiction	,成瘾
addiction	,嗜好
addictive behavior	,成瘾行为
addictive personality	,毒瘾性格
addictive personality6	,成瘾人格
adding mechanism	,加法机制
adding model	,总和论
Addison	,s
additament	,附加物
addition mixture	,加法混色
addition of class	,类的加法
addition of probabilities	,概率的加算
addition test	,加算测验
addition	,加法
additional pollution	,增添污染
additive color mixture	,相加混色
additive effect	,累加效应
additive factors method	,附加因素法
additive factors	,附加因素
additive mixture	,相加混色
additive model	,相加模型
additive operation	,加法运算
additive process	,加法过程
additive property of chi	,square
additive property	,可加性
additive reaction	,加成反应
additive scale	,相加量表
additive	,附加的
additivity of means	,平均数可加性
additivity of probability	,概率可加性
additivity of X	,2
additivity	,可加性
adduce	,引证
adduction	,内受作用
ADEM	,急性感染后脑脊髓炎
adenalgia	,腺痛
adenasthenia	,腺机能衰弱
adendritic	,无树突的
adenectomy	,腺切除术
adenectopia	,腺异位
adenitis	,腺炎
adenocarcinoma	,腺癌
adenocele	,腺囊肿
adenohypersthenia	,腺机能亢进
adenohypophysis	,腺性垂体
adenoma	,腺瘤
adenoncus	,腺肿大
adenoneural	,腺神经的
